Ranks,School Name,20 Year Net ROI,Total 4 Year Cost,Graduation Rate,Typical Years to graduate,Average Loan Amount
67,Yeshiva University (Private),"654,000","245,000",82,4,"29,400"
68,Virginia Polytechnic Institute and State University (InState),"651,000","106,000",86,4,"35,100"
69,University of Illinois at UrbanaChampaign (InState),"651,000","121,000",85,4,"25,900"
70,Bucknell University (Private),"650,000","286,000",90,4,"36,200"
71,SUNY at Binghamton (InState),"645,000","106,000",82,4,"29,900"
72,Williams College (Private),"642,000","288,000",95,4,"16,700"
73,Milwaukee School of Engineering (Private),"639,000","211,000",65,4,"35,200"
74,Oregon Institute of Technology (InState),"639,000","96,400",46,5,"26,500"
75,Duke University (Private),"637,000","292,000",95,4,"26,200"
76,Michigan Technological University (OutofState),"637,000","189,000",70,5,"33,700"
77,Bentley University (Private),"636,000","270,000",90,4,"28,200"
78,University of MichiganAnn Arbor (InState),"633,000","120,000",93,4,"29,200"
79,MCPHS University (Private),"627,000","217,000",74,4,"66,900"
80,University of Notre Dame (Private),"627,000","282,000",96,4,"28,700"
81,University of WashingtonBothell Campus (InState),"627,000","109,000",69,4,"17,500"
82,Wabash College (Private),"619,000","224,000",74,4,"27,600"
83,Montana Tech of the University of Montana (InState),"618,000","86,300",54,5,"21,900"
84,University of MarylandCollege Park (InState),"616,000","108,000",87,4,"34,800"
85,Manhattan College (Private),"614,000","245,000",71,4,"34,500"
86,Lafayette College (Private),"613,000","280,000",88,4,"28,000"
87,San Jose State University (OutofState),"612,000","161,000",64,5,"23,600"
88,EmbryRiddle Aeronautical UniversityPrescott (Private),"610,000","209,000",69,5,"62,500"
89,University of WashingtonSeattle Campus (InState),"609,000","109,000",84,4,"22,800"
90,Texas A & M UniversityCollege Station (InState),"608,000","116,000",82,4,"28,200"
91,Purdue UniversityMain Campus (InState),"608,000","91,500",82,4,"36,400"
92,University of CaliforniaLos Angeles (InState),"607,000","138,000",92,4,"22,500"
93,Illinois Institute of Technology (Private),"605,000","261,000",70,5,"29,100"
94,Swarthmore College (Private),"605,000","280,000",94,4,"35,900"
95,Virginia Military Institute (OutofState),"603,000","227,000",79,4,"25,500"
96,EmbryRiddle Aeronautical UniversityDaytona Beach (Private),"601,000","210,000",62,5,"59,300"
97,Johns Hopkins University (Private),"601,000","283,000",93,4,"22,200"
98,Case Western Reserve University (Private),"601,000","266,000",84,4,"24,700"
99,University of MassachusettsLowell (InState),"597,000","121,000",66,5,"30,300"
100,The University of Texas at Austin (InState),"595,000","105,000",86,4,"16,500"
101,Rutgers UniversityNew Brunswick (InState),"590,000","128,000",84,4,"33,900"
102,Lawrence Technological University (Private),"589,000","196,000",60,5,"43,500"
103,California State Polytechnic UniversityPomona (InState),"588,000","109,000",69,5,"25,300"
104,University of Illinois at UrbanaChampaign (OutofState),"586,000","186,000",85,4,"25,900"
105,Villanova University (Private),"584,000","278,000",90,4,"37,100"
106,University of VirginiaMain Campus (OutofState),"580,000","255,000",95,4,"31,600"
107,SUNY at Binghamton (OutofState),"580,000","170,000",82,4,"29,900"
108,University of Alaska Fairbanks (InState),"580,000","80,600",35,4,"27,500"
109,Virginia Polytechnic Institute and State University (OutofState),"578,000","178,000",86,4,"35,100"
110,University of CaliforniaSan Diego (OutofState),"578,000","245,000",87,4,"24,500"
111,George Mason University (InState),"567,000","117,000",71,4,"33,300"
112,Florida Institute of Technology (Private),"567,000","238,000",59,4,"34,700"
113,Oregon Institute of Technology (OutofState),"566,000","170,000",46,5,"26,500"
114,Wentworth Institute of Technology (Private),"563,000","215,000",73,4,"51,700"
115,Montana Tech of the University of Montana (OutofState),"560,000","145,000",54,5,"21,900"
116,Union College (New York) (Private),"559,000","279,000",82,4,"31,300"
117,Brigham Young UniversityIdaho (Private),"558,000","48,700",60,6,"24,700"
118,Fairfield University (Private),"554,000","261,000",83,4,"37,100"
119,Boston College (Private),"552,000","288,000",94,4,"16,000"
120,Hamilton College (Private),"552,000","276,000",93,4,"25,900"
121,George Washington University (Private),"551,000","283,000",82,4,"35,900"
122,CUNY Bernard M Baruch College (InState),"550,000","128,000",70,5,"26,500"
123,Touro College (Private),"548,000","145,000",61,4,"25,000"
124,University of Alabama in Huntsville (InState),"548,000","105,000",58,5,"26,700"
125,University of MarylandBaltimore County (InState),"548,000","112,000",71,5,"27,600"
126,California State Polytechnic UniversityPomona (OutofState),"541,000","156,000",69,5,"25,300"
127,University of CaliforniaSanta Barbara (InState),"541,000","145,000",83,4,"24,500"
128,University of CaliforniaIrvine (InState),"540,000","136,000",84,4,"21,500"
129,Loyola University Maryland (Private),"539,000","262,000",83,4,"37,500"
130,Rutgers UniversityNewark (InState),"538,000","130,000",69,5,"26,100"
131,University of Delaware (InState),"538,000","115,000",81,4,"37,800"
132,The College of New Jersey (InState),"538,000","139,000",86,4,"43,600"
133,University of CaliforniaDavis (InState),"538,000","142,000",87,4,"21,500"
134,Stony Brook University (InState),"537,000","103,000",76,4,"25,700"
135,College of William and Mary (InState),"535,000","152,000",90,4,"30,900"
136,Purdue UniversityMain Campus (OutofState),"533,000","167,000",82,4,"36,400"
137,University of Houston (InState),"531,000","96,800",61,5,"25,700"
138,James Madison University (InState),"530,000","107,000",84,4,"35,400"
139,The University of Texas at Dallas (InState),"528,000","113,000",70,4,"26,200"
140,University of Alaska Fairbanks (OutofState),"528,000","133,000",35,4,"27,500"
141,Drexel University (Private),"527,000","282,000",69,5,"42,400"
142,University of MassachusettsLowell (OutofState),"527,000","190,000",66,5,"30,300"
143,University of WashingtonBothell Campus (OutofState),"526,000","210,000",69,4,"17,500"
144,Vanderbilt University (Private),"526,000","275,000",93,4,"35,700"
145,Rutgers UniversityNew Brunswick (OutofState),"525,000","193,000",84,4,"33,900"
146,California State UniversityEast Bay (InState),"521,000","102,000",50,5,"21,500"
147,University of MarylandCollege Park (OutofState),"520,000","203,000",87,4,"34,800"
148,CUNY Bernard M Baruch College (OutofState),"519,000","158,000",70,5,"26,500"
149,North Carolina State University at Raleigh (InState),"516,000","95,000",82,4,"27,300"
150,Emory University (Private),"513,000","274,000",90,4,"27,300"
151,Miami UniversityOxford (InState),"511,000","129,000",81,4,"34,600"
152,Texas A & M UniversityCollege Station (OutofState),"510,000","214,000",82,4,"28,200"
153,University of Richmond (Private),"509,000","265,000",89,4,"25,800"
154,University of Connecticut (InState),"509,000","128,000",84,4,"31,400"
155,Washington University in St Louis (Private),"508,000","293,000",95,4,"24,700"
156,University of WashingtonSeattle Campus (OutofState),"508,000","209,000",84,4,"22,800"
157,Texas Tech University (InState),"508,000","94,800",61,5,"34,600"
158,University of Southern California (Private),"507,000","294,000",92,4,"27,100"
159,Wake Forest University (Private),"506,000","282,000",88,4,"34,600"
160,New York University (Private),"504,000","291,000",85,4,"31,800"
161,University of Alabama in Huntsville (OutofState),"502,000","151,000",58,5,"26,700"
162,West Virginia University Institute of Technology (InState),"502,000","87,000",21,5,"22,900"
163,Pennsylvania State UniversityMain Campus (InState),"501,000","146,000",71,4,"39,900"
164,University of MinnesotaTwin Cities (InState),"500,000","111,000",83,4,"32,700"
165,University of MichiganAnn Arbor (OutofState),"500,000","253,000",93,4,"29,200"
166,Bryant University (Private),"499,000","245,000",81,4,"58,000"
167,University of San Francisco (Private),"499,000","269,000",75,4,"33,400"
168,Northwestern University (Private),"499,000","297,000",94,4,"22,700"
169,The University of Texas at Arlington (InState),"498,000","102,000",51,5,"23,500"
170,College of the Holy Cross (Private),"496,000","271,000",90,4,"25,400"
171,Clemson University (InState),"495,000","122,000",84,4,"38,800"
172,Citadel Military College of South Carolina (InState),"495,000","116,000",74,4,"53,900"
173,Farmingdale State College (InState),"495,000","97,900",52,4,"21,300"
174,University of CaliforniaLos Angeles (OutofState),"494,000","252,000",92,4,"22,500"
175,Northeastern University (Private),"493,000","278,000",89,5,"34,500"
176,Weber State University (InState),"493,000","81,700",34,5,"19,300"
177,California State UniversityChico (InState),"493,000","98,900",67,5,"22,600"
178,The College of New Jersey (OutofState),"492,000","185,000",86,4,"43,600"
179,University of Colorado Boulder (InState),"492,000","121,000",69,4,"36,400"
180,Seattle University (Private),"492,000","244,000",74,4,"28,200"
181,University of WisconsinPlatteville (InState),"492,000","76,300",56,5,"27,400"
182,University of Utah (InState),"491,000","94,800",70,5,"43,300"
183,University of MarylandBaltimore County (OutofState),"490,000","170,000",71,5,"27,600"
184,The University of Texas at Austin (OutofState),"489,000","211,000",86,4,"16,500"
185,Brandeis University (Private),"487,000","289,000",87,4,"24,400"
186,Iowa State University (InState),"486,000","83,700",74,5,"30,800"
187,University of Florida (InState),"484,000","84,800",88,4,"23,100"
188,University of Houston (OutofState),"482,000","146,000",61,5,"25,700"
189,Rochester Institute of Technology (Private),"480,000","227,000",67,5,"38,700"
190,George Mason University (OutofState),"476,000","207,000",71,4,"33,300"
191,Grove City College (Private),"476,000","116,000",85,4,"52,000"
192,University of WisconsinMadison (InState),"474,000","103,000",88,4,"32,400"
193,California State UniversityEast Bay (OutofState),"474,000","149,000",50,5,"21,500"
194,Tufts University (Private),"474,000","288,000",94,4,"24,300"
195,Rutgers UniversityNewark (OutofState),"474,000","194,000",69,5,"26,100"
196,Fashion Institute of Technology (InState),"471,000","95,000",80,4,"33,700"
197,University of Alaska Southeast (InState),"471,000","81,200",26,5,"22,800"
198,Prairie View A & M University (InState),"470,000","96,700",36,5,"24,700"
199,Catholic University of America (Private),"469,000","255,000",72,4,"38,800"
200,Texas Tech University (OutofState),"468,000","134,000",61,5,"34,600"
201,Mount Carmel College of Nursing (Private),"468,000","99,800",74,4,"24,000"
202,Haverford College (Private),"468,000","291,000",90,4,"26,800"
203,Baptist Memorial College of Health Sciences (Private),"468,000","90,500",56,5,"24,900"
204,Stony Brook University (OutofState),"467,000","174,000",76,4,"25,700"
205,Washington State University (InState),"467,000","110,000",60,5,"27,400"
206,Pace UniversityNew York (Private),"466,000","264,000",57,4,"35,500"
207,James Madison University (OutofState),"464,000","172,000",84,4,"35,400"
208,Oregon State University (InState),"464,000","107,000",67,5,"30,600"
209,University of WisconsinPlatteville (OutofState),"461,000","108,000",56,5,"27,400"
210,Saint Mary's College of California (Private),"461,000","266,000",78,4,"29,200"
211,University of Chicago (Private),"460,000","309,000",95,4,"38,900"
212,University of MassachusettsAmherst (InState),"460,000","122,000",82,4,"32,400"
213,University of CincinnatiMain Campus (InState),"460,000","112,000",71,5,"26,400"
214,Pomona College (Private),"460,000","284,000",93,4,"27,300"
215,Boston University (Private),"459,000","286,000",88,4,"43,900"
216,West Virginia University Institute of Technology (OutofState),"459,000","130,000",21,5,"22,900"
217,University of Delaware (OutofState),"457,000","196,000",81,4,"37,800"
218,San Diego State University (InState),"456,000","115,000",73,5,"27,200"
219,Ottawa UniversityOttawa (Private),"456,000","174,000",51,4,"34,900"
220,Farmingdale State College (OutofState),"455,000","137,000",52,4,"21,300"
221,Weber State University (OutofState),"454,000","120,000",34,5,"19,300"
222,Texas A & M UniversityKingsville (InState),"452,000","91,900",39,5,"28,800"
223,University of Illinois at Chicago (InState),"450,000","123,000",61,5,"26,400"
224,Lamar University (InState),"449,000","89,800",34,5,"27,200"
225,Bowdoin College (Private),"449,000","278,000",95,4,"32,900"
226,University of OklahomaNorman Campus (InState),"448,000","115,000",70,5,"34,200"
227,California State UniversitySacramento (InState),"448,000","104,000",55,5,"20,200"
228,Michigan State University (InState),"448,000","114,000",81,4,"31,200"
229,College of William and Mary (OutofState),"447,000","240,000",90,4,"30,900"
230,University of Arizona (InState),"447,000","115,000",65,4,"28,200"
231,California State UniversityChico (OutofState),"446,000","146,000",67,5,"22,600"
232,Saint Johns University (Private),"445,000","227,000",75,4,"36,600"
233,University of Alaska Anchorage (InState),"445,000","106,000",29,5,"22,700"
234,University of MinnesotaTwin Cities (OutofState),"444,000","167,000",83,4,"32,700"
235,San Francisco State University (InState),"443,000","106,000",57,5,"22,600"
236,The University of Texas at Dallas (OutofState),"443,000","198,000",70,4,"26,200"
237,University of the Pacific (Private),"442,000","263,000",71,4,"26,900"
238,North Carolina State University at Raleigh (OutofState),"440,000","170,000",82,4,"27,300"
239,Pennsylvania State UniversityPenn State ErieBehrend College (InState),"440,000","133,000",71,4,"22,600"
240,Arizona State UniversityTempe (InState),"440,000","111,000",63,4,"26,900"
241,Utah State University (InState),"439,000","79,800",54,5,"24,100"
242,Louisiana State University and Agricultural & Mechanical College (InState),"438,000","122,000",68,5,"27,800"
243,Menlo College (Private),"438,000","239,000",58,4,"28,100"
244,Pennsylvania State UniversityMain Campus (OutofState),"438,000","209,000",71,4,"39,900"
245,The University of Texas at Arlington (OutofState),"436,000","164,000",51,5,"23,500"
246,Vaughn College of Aeronautics and Technology (Private),"436,000","191,000",33,5,"13,200"
247,CUNY Queens College (InState),"435,000","114,000",56,5,"27,600"
248,Miami UniversityOxford (OutofState),"435,000","206,000",81,4,"34,600"
249,University of Dayton (Private),"435,000","234,000",82,4,"49,500"
250,North Dakota State UniversityMain Campus (InState),"435,000","87,600",60,5,"37,600"
251,University of PittsburghPittsburgh Campus (InState),"434,000","134,000",83,4,"38,600"
252,Louisiana Tech University (InState),"434,000","83,300",60,4,"22,700"
253,Fashion Institute of Technology (OutofState),"433,000","134,000",80,4,"33,700"
254,University of Iowa (InState),"433,000","93,500",72,4,"31,900"
255,Marquette University (Private),"433,000","227,000",82,4,"34,900"
256,Stonehill College (Private),"431,000","242,000",82,4,"39,900"
257,California State UniversityLong Beach (InState),"431,000","97,700",74,5,"21,700"
258,Iowa State University (OutofState),"429,000","141,000",74,5,"30,800"
259,University of CaliforniaSanta Barbara (OutofState),"428,000","258,000",83,4,"24,500"
260,LeTourneau University (Private),"428,000","176,000",63,4,"34,500"
261,SUNY College at Old Westbury (InState),"427,000","95,000",48,4,"23,500"
262,University of HoustonClear Lake (InState),"427,000","98,400",,4,"19,400"
263,University of Rhode Island (InState),"427,000","119,000",69,4,"27,800"
264,University of CaliforniaIrvine (OutofState),"427,000","250,000",84,4,"21,500"
265,La Salle University (Private),"425,000","198,000",66,4,"39,200"
266,University of CaliforniaDavis (OutofState),"424,000","255,000",87,4,"21,500"
267,Bellevue University (Private),"423,000","80,300",24,5,"24,500"
268,Kennesaw State University (InState),"423,000","105,000",46,5,"23,500"
269,West Virginia University (InState),"421,000","91,200",61,5,"36,100"
270,Gonzaga University (Private),"421,000","235,000",85,4,"30,400"
271,University of CaliforniaSanta Cruz (InState),"421,000","145,000",75,4,"25,200"
272,University of Connecticut (OutofState),"420,000","217,000",84,4,"31,400"
273,Regis University (Private),"420,000","209,000",64,4,"27,900"
274,University of Idaho (InState),"420,000","85,100",56,5,"21,400"
275,Indiana UniversityBloomington (InState),"420,000","99,700",79,4,"31,600"
276,College of Staten Island CUNY (InState),"418,000","128,000",32,4,"21,700"
277,Jefferson College of Health Sciences (InState),"418,000","155,000",53,5,"29,700"
278,University of Alaska Southeast (OutofState),"417,000","135,000",26,5,"22,800"
279,University of Arkansas (InState),"417,000","101,000",66,4,"31,900"
280,Lake Forest College (Private),"416,000","240,000",77,4,"27,600"
281,University of Georgia (InState),"415,000","107,000",87,4,"24,900"
282,Prairie View A & M University (OutofState),"414,000","153,000",36,5,"24,700"
283,University of Utah (OutofState),"414,000","171,000",70,5,"43,300"
284,SUNY at Albany (InState),"414,000","105,000",63,4,"28,600"
285,University of North Carolina at Chapel Hill (InState),"411,000","98,500",91,4,"26,700"
286,California State UniversityFresno (InState),"411,000","83,300",56,5,"19,100"
287,California State UniversityStanislaus (InState),"411,000","85,100",59,5,"17,500"
288,Western Washington University (InState),"410,000","95,300",68,5,"24,300"
289,University of the Sciences (Private),"410,000","211,000",78,4,"48,800"
290,Washington State University (OutofState),"409,000","167,000",60,5,"27,400"
291,San Diego State University (OutofState),"409,000","161,000",73,5,"27,200"
292,Loyola Marymount University (Private),"409,000","265,000",80,4,"36,500"
293,Clemson University (OutofState),"409,000","208,000",84,4,"38,800"
294,Lamar University (OutofState),"409,000","130,000",34,5,"27,200"
295,Tennessee Technological University (InState),"408,000","104,000",54,5,"21,800"
296,Citadel Military College of South Carolina (OutofState),"407,000","205,000",74,4,"53,900"
297,University at Buffalo (InState),"407,000","108,000",75,4,"29,700"
298,California State UniversityFullerton (InState),"407,000","110,000",69,5,"22,600"
299,University of WashingtonTacoma Campus (InState),"406,000","107,000",56,4,"19,800"
300,Washington Adventist University (Private),"406,000","142,000",41,5,"38,800"
301,University of Rochester (Private),"406,000","286,000",87,4,"27,900"
302,Ohio State UniversityMain Campus (InState),"406,000","108,000",86,4,"29,700"
303,Jefferson College of Health Sciences (OutofState),"406,000","167,000",53,5,"29,700"
304,University of North Dakota (InState),"405,000","87,500",61,5,"38,400"
305,California State UniversitySan Marcos (InState),"405,000","101,000",54,5,"22,000"
306,Oglethorpe University (Private),"405,000","218,000",48,4,"33,600"
307,CUNY Queens College (OutofState),"405,000","144,000",56,5,"27,600"
308,North Dakota State UniversityMain Campus (OutofState),"404,000","119,000",60,5,"37,600"
309,California State UniversityNorthridge (InState),"404,000","89,200",55,5,"20,300"
310,Pennsylvania State UniversityPenn State ErieBehrend College (OutofState),"404,000","168,000",71,4,"37,600"
311,Colorado State UniversityFort Collins (InState),"404,000","104,000",70,5,"30,400"
312,Seton Hall University (Private),"404,000","235,000",73,4,"44,400"
313,Auburn University (InState),"403,000","126,000",79,5,"32,300"
314,University of Kansas (InState),"403,000","104,000",67,4,"28,500"
315,Pennsylvania State UniversityPenn State Berks (InState),"403,000","133,000",71,4,"30,400"
316,Syracuse University (Private),"403,000","273,000",83,4,"43,200"
317,Hofstra University (Private),"403,000","251,000",65,4,"44,900"
318,University of WisconsinEau Claire (InState),"402,000","81,100",67,5,"28,300"
319,University of Redlands (Private),"401,000","272,000",76,4,"32,800"
320,California State UniversitySacramento (OutofState),"401,000","151,000",55,5,"20,200"
321,Felician University (Private),"401,000","205,000",47,5,"28,500"
322,University of North Carolina at Charlotte (InState),"400,000","95,500",64,5,"30,200"
323,Kansas State University (InState),"399,000","98,300",65,5,"27,100"
324,University of CaliforniaRiverside (InState),"399,000","140,000",76,4,"20,400"
325,University of Illinois at Chicago (OutofState),"397,000","176,000",61,5,"26,400"
326,DePaul University (Private),"397,000","228,000",74,4,"28,400"
327,Central Washington University (InState),"397,000","92,400",58,5,"24,400"
328,Amherst College (Private),"397,000","291,000",95,4,"29,400"
329,University of CincinnatiMain Campus (OutofState),"396,000","175,000",71,5,"26,400"
330,San Francisco State University (OutofState),"396,000","153,000",57,5,"22,600"
331,Western Connecticut State University (InState),"395,000","109,000",52,5,"27,000"
332,University of Mary Washington (InState),"395,000","111,000",65,4,"31,400"
333,University of Florida (OutofState),"395,000","174,000",88,4,"23,100"
334,Texas A & M UniversityKingsville (OutofState),"395,000","149,000",39,5,"28,800"
335,Colby College (Private),"395,000","279,000",89,4,"17,900"
336,Vermont Technical College (InState),"394,000","112,000",55,4,"43,700"
337,University of HoustonVictoria (InState),"394,000","78,800",19,5,"21,000"
338,University of MissouriColumbia (InState),"393,000","106,000",71,4,"31,000"
339,American University (Private),"393,000","260,000",79,4,"36,500"
340,University of Colorado Boulder (OutofState),"393,000","220,000",69,4,"36,400"
341,SUNY Polytechnic Institute (InState),"393,000","96,900",57,4,"25,500"
342,Florida International University (InState),"392,000","94,600",63,5,"24,300"
343,University of St Thomas (Minnesota) (Private),"392,000","225,000",76,4,"37,900"
344,CUNY City College (InState),"391,000","118,000",56,5,"26,600"
345,Indiana Institute of Technology (Private),"391,000","163,000",37,4,"21,800"
346,Louisiana Tech University (OutofState),"390,000","127,000",60,4,"22,700"
347,University of NebraskaLincoln (InState),"390,000","100,000",66,5,"25,600"
348,New York Institute of Technology (Private),"390,000","230,000",53,5,"26,100"
349,Gettysburg College (Private),"389,000","272,000",81,4,"22,200"
350,University of Wyoming (InState),"389,000","79,600",60,5,"28,500"
351,University of MissouriKansas City (InState),"389,000","97,500",50,5,"26,200"
352,Oklahoma State UniversityMain Campus (InState),"388,000","94,800",65,5,"27,300"
353,University of OklahomaNorman Campus (OutofState),"388,000","175,000",70,5,"34,200"
354,Oregon State University (OutofState),"388,000","183,000",67,5,"30,600"
355,Alaska Pacific University (Private),"388,000","137,000",45,4,"20,500"
356,College of Staten Island CUNY (OutofState),"388,000","158,000",32,4,"21,700"
357,SUNY College at Old Westbury (OutofState),"388,000","134,000",48,4,"23,500"
358,University of MassachusettsAmherst (OutofState),"387,000","195,000",82,4,"32,400"
359,Central Connecticut State University (InState),"387,000","103,000",57,5,"28,000"
360,New Mexico State UniversityMain Campus (InState),"386,000","83,000",48,5,"18,900"
361,Montana State University (InState),"386,000","86,900",57,5,"27,800"
362,University of St Thomas (Texas) (Private),"386,000","185,000",68,5,"23,100"
363,HampdenSydney College (Private),"385,000","246,000",68,4,"34,700"
364,California State UniversityLong Beach (OutofState),"385,000","144,000",74,5,"21,700"
365,Pepperdine University (Private),"385,000","288,000",86,4,"30,600"
366,University of Alaska Anchorage (OutofState),"384,000","167,000",29,5,"22,700"
367,University of PittsburghPittsburgh Campus (OutofState),"384,000","184,000",83,4,"38,600"
368,Utah State University (OutofState),"384,000","135,000",54,5,"24,100"
369,Bates College (Private),"384,000","280,000",91,4,"39,500"
370,Fairleigh Dickinson UniversityCollege at Florham (Private),"383,000","240,000",63,4,"38,100"
371,Eastern Nazarene College (Private),"383,000","172,000",40,4,"28,500"
372,California College of the Arts (Private),"383,000","265,000",64,4,"29,900"
373,University of MassachusettsDartmouth (InState),"382,000","120,000",59,5,"28,900"
374,University of NevadaReno (InState),"381,000","98,400",61,5,"25,600"
375,Trinity College (Private),"381,000","291,000",83,4,"28,900"
376,Trine University (Private),"380,000","193,000",63,4,"34,000"
377,Kennesaw State University (OutofState),"379,000","148,000",46,5,"23,500"
378,Bradley University (Private),"379,000","189,000",77,4,"30,100"
379,Trinity University (Private),"378,000","231,000",76,4,"38,600"
380,DePauw University (Private),"378,000","255,000",84,4,"21,000"
381,The University of Texas at El Paso (InState),"377,000","94,100",37,5,"18,700"
382,Fordham University (Private),"377,000","293,000",83,4,"32,300"
383,Molloy College (Private),"377,000","204,000",74,5,"29,000"
384,University of HoustonClear Lake (OutofState),"376,000","149,000",70,4,"19,400"
385,University of Vermont (InState),"375,000","135,000",77,4,"40,900"
386,University of WisconsinMadison (OutofState),"374,000","203,000",88,4,"32,400"
387,Providence College (Private),"374,000","265,000",87,4,"43,900"
388,Southern Methodist University (Private),"374,000","294,000",81,4,"47,800"
389,Gwynedd Mercy University (Private),"373,000","196,000",60,4,"41,600"
390,CUNY Hunter College (InState),"373,000","90,200",57,5,"30,900"
391,Louisiana State University and Agricultural & Mechanical College (OutofState),"372,000","189,000",68,5,"27,800"
392,SUNY College of Technology at Alfred (InState),"372,000","101,000",60,4,"31,100"
393,Arizona State UniversityTempe (OutofState),"372,000","179,000",63,4,"26,900"
394,University of San Diego (Private),"371,000","267,000",81,4,"27,200"
